Algorithm,Iteration,Dead Ends,Avg Branching,Path Length
DFS,0,26,1.9955,224
DFS,1,25,1.9955,216
DFS,2,25,1.9955,120
DFS,3,22,1.9955,188
DFS,4,26,1.9955,180
DFS,5,18,1.9955,292
DFS,6,20,1.9955,104
DFS,7,21,1.9955,212
DFS,8,27,1.9955,200
DFS,9,29,1.9955,296
DFS,10,24,1.9955,96
DFS,11,26,1.9955,116
DFS,12,26,1.9955,120
DFS,13,25,1.9955,144
DFS,14,29,1.9955,228
DFS,15,21,1.9955,176
DFS,16,22,1.9955,160
DFS,17,25,1.9955,248
DFS,18,28,1.9955,200
DFS,19,26,1.9955,148
DFS,20,24,1.9955,128
DFS,21,28,1.9955,132
DFS,22,24,1.9955,108
DFS,23,17,1.9955,308
DFS,24,25,1.9955,208
DFS,25,21,1.9955,164
DFS,26,23,1.9955,260
DFS,27,20,1.9955,148
DFS,28,27,1.9955,76
DFS,29,23,1.9955,108
DFS,30,25,1.9955,260
DFS,31,30,1.9955,204
DFS,32,25,1.9955,100
DFS,33,24,1.9955,204
DFS,34,28,1.9955,296
DFS,35,24,1.9955,160
DFS,36,28,1.9955,168
DFS,37,29,1.9955,148
DFS,38,28,1.9955,140
DFS,39,22,1.9955,304
DFS,40,28,1.9955,112
DFS,41,28,1.9955,104
DFS,42,26,1.9955,200
DFS,43,22,1.9955,112
DFS,44,31,1.9955,212
DFS,45,27,1.9955,236
DFS,46,28,1.9955,212
DFS,47,26,1.9955,196
DFS,48,27,1.9955,148
DFS,49,29,1.9955,208
BFS,0,23,1.9955,56
BFS,1,24,1.9955,56
BFS,2,26,1.9955,56
BFS,3,26,1.9955,56
BFS,4,27,1.9955,56
BFS,5,27,1.9955,56
BFS,6,22,1.9955,56
BFS,7,22,1.9955,56
BFS,8,25,1.9955,56
BFS,9,25,1.9955,56
BFS,10,22,1.9955,56
BFS,11,27,1.9955,56
BFS,12,23,1.9955,56
BFS,13,28,1.9955,56
BFS,14,23,1.9955,56
BFS,15,23,1.9955,56
BFS,16,25,1.9955,56
BFS,17,28,1.9955,56
BFS,18,28,1.9955,56
BFS,19,24,1.9955,56
BFS,20,28,1.9955,56
BFS,21,22,1.9955,56
BFS,22,25,1.9955,56
BFS,23,24,1.9955,56
BFS,24,23,1.9955,56
BFS,25,24,1.9955,56
BFS,26,26,1.9955,56
BFS,27,25,1.9955,56
BFS,28,25,1.9955,56
BFS,29,24,1.9955,56
BFS,30,28,1.9955,56
BFS,31,19,1.9955,56
BFS,32,28,1.9955,56
BFS,33,26,1.9955,56
BFS,34,21,1.9955,56
BFS,35,26,1.9955,56
BFS,36,20,1.9955,56
BFS,37,24,1.9955,56
BFS,38,28,1.9955,56
BFS,39,26,1.9955,56
BFS,40,27,1.9955,56
BFS,41,25,1.9955,56
BFS,42,24,1.9955,56
BFS,43,20,1.9955,56
BFS,44,26,1.9955,56
BFS,45,26,1.9955,56
BFS,46,22,1.9955,56
BFS,47,24,1.9955,56
BFS,48,18,1.9955,56
BFS,49,18,1.9955,56
Prim,0,77,1.9955,64
Prim,1,78,1.9955,56
Prim,2,72,1.9955,56
Prim,3,74,1.9955,64
Prim,4,71,1.9955,60
Prim,5,76,1.9955,56
Prim,6,65,1.9955,68
Prim,7,66,1.9955,56
Prim,8,75,1.9955,56
Prim,9,68,1.9955,56
Prim,10,68,1.9955,68
Prim,11,68,1.9955,56
Prim,12,68,1.9955,56
Prim,13,73,1.9955,56
Prim,14,73,1.9955,64
Prim,15,70,1.9955,64
Prim,16,66,1.9955,64
Prim,17,69,1.9955,56
Prim,18,74,1.9955,56
Prim,19,73,1.9955,56
Prim,20,75,1.9955,56
Prim,21,73,1.9955,60
Prim,22,67,1.9955,60
Prim,23,74,1.9955,56
Prim,24,68,1.9955,56
Prim,25,68,1.9955,72
Prim,26,77,1.9955,56
Prim,27,70,1.9955,60
Prim,28,80,1.9955,56
Prim,29,72,1.9955,56
Prim,30,72,1.9955,56
Prim,31,68,1.9955,64
Prim,32,76,1.9955,60
Prim,33,68,1.9955,56
Prim,34,69,1.9955,64
Prim,35,71,1.9955,56
Prim,36,74,1.9955,56
Prim,37,70,1.9955,60
Prim,38,73,1.9955,56
Prim,39,73,1.9955,56
Prim,40,71,1.9955,56
Prim,41,68,1.9955,60
Prim,42,71,1.9955,60
Prim,43,69,1.9955,56
Prim,44,71,1.9955,60
Prim,45,63,1.9955,56
Prim,46,66,1.9955,56
Prim,47,68,1.9955,64
Prim,48,70,1.9955,56
Prim,49,68,1.9955,56
